phone,base,count,tags
tt7,tt7,1,consonant; len-3
ty7,ty7,1,consonant; len-3
xwn,xwn,1,consonant; len-3
rp"r,rpr,1,consonant; len-3; glottalized
ndr,ndr,132,consonant; len-3; prenasalized
mgb,mgb,61,consonant; len-3; prenasalized
Ngb,Ngb,12,consonant; len-3; prenasalized
ndL,ndL,10,consonant; len-3; prenasalized
ngb,ngb,10,consonant; len-3; prenasalized
mkp,mkp,8,consonant; len-3; prenasalized
npl,npl,6,consonant; len-3; prenasalized
ntL,ntL,5,consonant; len-3; prenasalized
mpf,mpf,4,consonant; len-3; prenasalized
mpl,mpl,3,consonant; len-3; prenasalized
ndj,ndj,3,consonant; len-3; prenasalized
ntf,ntf,3,consonant; len-3; prenasalized
Nkp,Nkp,2,consonant; len-3; prenasalized
ndl,ndl,2,consonant; len-3; prenasalized
ndv,ndv,2,consonant; len-3; prenasalized
nkp,nkp,2,consonant; len-3; prenasalized
ntl,ntl,2,consonant; len-3; prenasalized
ntn,ntn,2,consonant; len-3; prenasalized
ntr,ntr,2,consonant; len-3; prenasalized
mSk,mSk,1,consonant; len-3; prenasalized
mbr,mbr,1,consonant; len-3; prenasalized
mbv,mbv,1,consonant; len-3; prenasalized
nd7,nd7,1,consonant; len-3; prenasalized
ndZ,ndZ,1,consonant; len-3; prenasalized
ndg,ndg,1,consonant; len-3; prenasalized
nh7,nh7,1,consonant; len-3; prenasalized
njZ,njZ,1,consonant; len-3; prenasalized
nsm,nsm,1,consonant; len-3; prenasalized
ntS,ntS,1,consonant; len-3; prenasalized
nts,nts,1,consonant; len-3; prenasalized
ntv,ntv,1,consonant; len-3; prenasalized
y,y,36947,semivowel; len-1
w,w,36527,semivowel; len-1
wh,w,25,semivowel; len-1; aspirated
yh,y,14,semivowel; len-1; aspirated
w",w,140,semivowel; len-1; glottalized
y",y,103,semivowel; len-1; glottalized
yw,y,34,semivowel; len-1; labialized
ww,w,3,semivowel; len-1; labialized
w*,w,79,semivowel; len-1; nasalized
y*,y,61,semivowel; len-1; nasalized
wy,w,14,semivowel; len-1; palatalized
yy,y,1,semivowel; len-1; palatalized
wX,w,3,semivowel; len-1; pharyngealized
yX,y,1,semivowel; len-1; pharyngealized
wx,w,1,semivowel; len-1; velarized
y7,y7,28,semivowel; len-2
w7,w7,12,semivowel; len-2
wn,wn,6,semivowel; len-2
wr,wr,6,semivowel; len-2
yn,yn,4,semivowel; len-2
wd,wd,2,semivowel; len-2
wj,wj,2,semivowel; len-2
wk,wk,2,semivowel; len-2
wq,wq,2,semivowel; len-2
wN,wN,1,semivowel; len-2
wb,wb,1,semivowel; len-2
wl,wl,1,semivowel; len-2
wp,wp,1,semivowel; len-2
wv,wv,1,semivowel; len-2
yk,yk,1,semivowel; len-2
yt,yt,1,semivowel; len-2
yz,yz,1,semivowel; len-2
wrh,wr,1,semivowel; len-2; aspirated
w"v,wv,1,semivowel; len-2; glottalized
wsk,wsk,2,semivowel; len-3
w7r,w7r,1,semivowel; len-3
w7t,w7t,1,semivowel; len-3
whn,whn,1,semivowel; len-3
wt7,wt7,1,semivowel; len-3
y7t,y7t,1,semivowel; len-3
a,a,266724,vowel; len-1
i,i,184359,vowel; len-1
u,u,132027,vowel; len-1
o,o,127812,vowel; len-1
e,e,91644,vowel; len-1
3,3,45158,vowel; len-1
E,E,35458,vowel; len-1
aw,a,11,vowel; len-1; labialized
ow,o,9,vowel; len-1; labialized
3w,3,1,vowel; len-1; labialized
Ew,E,1,vowel; len-1; labialized
uw,u,1,vowel; len-1; labialized
a*,a,3534,vowel; len-1; nasalized
i*,i,2692,vowel; len-1; nasalized
o*,o,2612,vowel; len-1; nasalized
u*,u,2094,vowel; len-1; nasalized
e*,e,1198,vowel; len-1; nasalized
E*,E,1070,vowel; len-1; nasalized
3*,3,535,vowel; len-1; nasalized
ay,a,14,vowel; len-1; palatalized
ey,e,8,vowel; len-1; palatalized
oy,o,3,vowel; len-1; palatalized
3y,3,2,vowel; len-1; palatalized
Ey,E,2,vowel; len-1; palatalized
iy,i,2,vowel; len-1; palatalized
3r,3r,2,vowel; len-2
ukw",uk,1,vowel; len-2; labialized; glottalized
